hour,avg_segment_time,current_delay,day_of_week_encoded,is_peak,segment_id_encoded,route_id_encoded,std_travel_time,stop_sequence,segment_length_m,travel_time
4,218.85714285714286,-8.8571,0,1,36,1,24.32057228731106,2,309.5654086210205,210.0
4,553.6666666666666,76.3333,0,1,133,3,111.18722440126157,3,1115.9245422552647,630.0
4,246.99115044247787,0.0,0,1,16,3,230.22847718451422,3,814.8630123503389,10.0
4,517.2881355932203,-157.2881,0,1,79,2,236.27008587101867,2,1454.419224437509,360.0
4,65.36585365853658,-35.3659,0,1,108,1,14.159371627231513,3,302.6626490352623,30.0
4,95.95121951219512,-5.9512,0,1,109,4,13.161797100596273,3,281.7784882432055,90.0
4,79.14893617021276,-9.1489,0,1,58,1,18.02733486768388,3,319.6330295333044,70.0
4,298.780487804878,-108.7805,0,1,132,0,129.1161322599004,3,1260.4457875848996,190.0
4,517.2881355932203,-497.2881,0,1,79,2,236.27008587101867,4,1454.419224437509,20.0
4,370.35,-0.35,0,1,95,4,5.245481424701113,4,281.9442659161058,370.0
4,125.49815498154982,-55.4982,0,1,72,1,55.714475447239714,4,423.8862316977636,70.0
4,40.0,0.0,0,1,110,4,0.0,5,174.3199688985365,40.0
4,620.3333333333334,-180.3333,0,1,33,3,124.13724862898783,3,420.1730961863914,440.0
4,49.84615384615385,0.0,0,1,32,3,7.39347425358752,4,167.96529078765693,10.0
4,47.5,-7.5,0,1,0,3,8.116006728520578,3,158.02949481960425,40.0
4,49.84615384615385,10.1538,0,1,32,3,7.39347425358752,3,167.96529078765693,60.0
4,298.780487804878,141.2195,0,1,132,0,129.1161322599004,4,1260.4457875848996,440.0
4,113.58722358722359,-33.5872,0,1,73,1,45.289508065276145,5,422.6914112876202,80.0
4,95.95121951219512,-15.9512,0,1,109,4,13.161797100596273,3,281.7784882432055,80.0
4,764.8888888888889,-4.8889,0,1,107,1,14.082203581522418,4,1151.8368549860206,760.0
4,517.2881355932203,-137.2881,0,1,79,2,236.27008587101867,4,1454.419224437509,380.0
4,58.22222222222222,1.7778,0,1,106,1,5.017382719429905,4,295.0313242372204,60.0
4,49.84615384615385,-29.8462,0,1,32,3,7.39347425358752,4,167.96529078765693,20.0
4,47.5,2.5,0,1,0,3,8.116006728520578,5,158.02949481960425,50.0
4,218.85714285714286,1.1429,0,1,36,1,24.32057228731106,2,309.5654086210205,220.0
4,434.93857493857496,-254.9386,0,1,57,1,438.8839783632732,5,1183.1242131347458,180.0
4,113.58722358722359,-93.5872,0,1,73,1,45.289508065276145,6,422.6914112876202,20.0
4,56.810344827586206,-6.8103,0,1,31,3,15.692653386691577,5,608.5824524940729,50.0
4,65.36585365853658,-35.3659,0,1,108,1,14.159371627231513,3,302.6626490352623,30.0
4,45.27777777777778,4.7222,0,1,41,1,5.807285909963673,6,520.0520781336909,50.0
4,79.14893617021276,-9.1489,0,1,58,1,18.02733486768388,3,319.6330295333044,70.0
4,434.93857493857496,-304.9386,0,1,57,1,438.8839783632732,5,1183.1242131347458,130.0
4,73.64963503649635,-3.6496,0,1,6,1,4.98171840313914,6,509.32842761480555,70.0
4,370.35,-0.35,0,1,95,4,5.245481424701113,4,281.9442659161058,370.0
4,40.0,-10.0,0,1,110,4,0.0,5,174.3199688985365,30.0
4,246.99115044247787,-206.9912,0,1,16,3,230.22847718451422,6,814.8630123503389,40.0
4,113.58722358722359,-23.5872,0,1,73,1,45.289508065276145,5,422.6914112876202,90.0
4,131.7117117117117,-111.7117,0,1,91,3,24.895193909079715,7,375.8337452338337,20.0
4,501.8918918918919,-161.8919,0,1,80,2,136.8461796210507,4,488.8403226602852,340.0
4,501.8918918918919,-481.8919,0,1,80,2,136.8461796210507,5,488.8403226602852,20.0
4,158.46153846153845,1.5385,0,1,29,3,6.898996582558499,8,289.18970051541015,160.0
4,131.7117117117117,8.2883,0,1,91,3,24.895193909079715,5,375.8337452338337,140.0
4,73.64963503649635,-53.6496,0,1,6,1,4.98171840313914,6,509.32842761480555,20.0
4,246.99115044247787,-116.9912,0,1,16,3,230.22847718451422,7,814.8630123503389,130.0
4,131.7117117117117,0.0,0,1,91,3,24.895193909079715,7,375.8337452338337,10.0
4,125.49815498154982,-45.4982,0,1,72,1,55.714475447239714,4,423.8862316977636,80.0
4,113.58722358722359,36.4128,0,1,73,1,45.289508065276145,4,422.6914112876202,150.0
4,95.95121951219512,14.0488,0,1,109,4,13.161797100596273,3,281.7784882432055,110.0
4,73.64963503649635,-53.6496,0,1,6,1,4.98171840313914,7,509.32842761480555,20.0
4,131.7117117117117,-111.7117,0,1,91,3,24.895193909079715,7,375.8337452338337,20.0
4,223.2258064516129,546.7742,0,1,16,0,222.26691306886252,6,814.8630123503389,770.0
4,125.49815498154982,34.5018,0,1,72,1,55.714475447239714,4,423.8862316977636,160.0
4,501.8918918918919,-1.8919,0,1,80,2,136.8461796210507,6,488.8403226602852,500.0
4,131.7117117117117,-101.7117,0,1,91,3,24.895193909079715,9,375.8337452338337,30.0
4,113.58722358722359,-33.5872,0,1,73,1,45.289508065276145,5,422.6914112876202,80.0
4,469.82142857142856,0.1786,0,1,22,3,3.562977012949311,9,644.3764138420722,470.0
4,764.8888888888889,-14.8889,0,1,107,1,14.082203581522418,4,1151.8368549860206,750.0
4,517.2881355932203,412.7119,0,1,79,2,236.27008587101867,5,1454.419224437509,930.0
4,164.0,-114.0,0,1,37,3,119.20378049543424,9,483.7472377860931,50.0
4,58.22222222222222,-8.2222,0,1,106,1,5.017382719429905,4,295.0313242372204,50.0
4,396.90909090909093,-266.9091,0,1,77,3,277.960281812386,7,928.4274499855651,130.0
4,131.7117117117117,0.0,0,1,91,3,24.895193909079715,7,375.8337452338337,10.0
4,370.35,-0.35,0,1,95,4,5.245481424701113,4,281.9442659161058,370.0
4,223.2258064516129,36.7742,0,1,16,0,222.26691306886252,7,814.8630123503389,260.0
4,95.27272727272727,74.7273,0,1,51,2,55.8056994784233,7,1283.4395825810745,170.0
4,40.0,0.0,0,1,110,4,0.0,5,174.3199688985365,40.0
4,181.5,-161.5,0,1,90,0,65.4589321244381,8,779.9383657198343,20.0
4,95.27272727272727,-55.2727,0,1,51,2,55.8056994784233,11,1283.4395825810745,40.0
4,218.85714285714286,1.1429,0,1,36,1,24.32057228731106,2,309.5654086210205,220.0
4,434.93857493857496,-254.9386,0,1,57,1,438.8839783632732,5,1183.1242131347458,180.0
4,113.58722358722359,-83.5872,0,1,73,1,45.289508065276145,6,422.6914112876202,30.0
4,45.27777777777778,-5.2778,0,1,41,1,5.807285909963673,6,520.0520781336909,40.0
4,519.4615384615385,0.5385,0,1,48,1,5.328225043193309,8,521.5669053038204,520.0
4,65.36585365853658,-35.3659,0,1,108,1,14.159371627231513,3,302.6626490352623,30.0
4,181.5,-41.5,0,1,90,0,65.4589321244381,6,779.9383657198343,140.0
4,131.7117117117117,-1.7117,0,1,91,3,24.895193909079715,9,375.8337452338337,130.0
4,73.64963503649635,-3.6496,0,1,6,1,4.98171840313914,6,509.32842761480555,70.0
4,79.14893617021276,0.8511,0,1,58,1,18.02733486768388,3,319.6330295333044,80.0
4,434.93857493857496,-304.9386,0,1,57,1,438.8839783632732,5,1183.1242131347458,130.0
